CustomerKey,Age,Gender,NumberCarsOwned,HouseOwnerFlag,YearlyIncome,MaritalStatus,FirstPurchaseAmount,LifetimeSales
566,57,0,0,1,20000,0,562.032,19481.0946
568,56,1,0,1,40000,1,416,53285.1825
581,90,0,1,1,30000,1,9.52,21198.2393
583,61,1,0,1,30000,0,481.288,22563.4211
598,46,1,2,1,30000,0,981.392,18043.3112
600,46,1,1,0,20000,0,481.288,21050.9669
615,48,1,1,0,30000,0,555.464,20200.9734
617,49,1,0,1,40000,1,817.264,49475.7896
632,53,0,0,1,60000,1,8.5405,26572.559
634,52,0,0,1,40000,1,663.651,27619.421
649,55,0,0,1,60000,0,575.567,22965.5745
651,54,0,0,1,60000,1,8.5405,24837.202
666,53,1,0,1,70000,1,8.5405,28767.488
668,56,0,1,1,70000,1,1250.8365,30541.4795
683,55,1,2,0,70000,1,663.5465,25701.856
685,58,0,1,0,40000,0,1250.732,30133.6885
698,59,0,2,1,50000,1,671.403,24988.2705
700,61,0,2,0,60000,0,8.436,22415.1015
715,61,1,1,1,70000,1,104.3765,25144.2465
717,62,0,2,1,40000,0,8.436,24982.3655
732,63,1,1,1,60000,1,8.436,22524.6615
734,64,1,1,1,60000,1,8.436,25169.4395
749,65,0,1,1,70000,1,8.436,28367.1725
751,56,1,1,1,60000,1,88.2215,24714.7575
766,57,0,3,1,80000,1,36.5415,23760.2955
768,58,1,0,0,90000,0,514.981,24234.1295
783,53,1,0,1,60000,1,663.5465,27927.2415
785,51,0,0,1,40000,1,8.436,28866.865
800,54,0,0,1,40000,1,1250.732,25379.651
802,54,0,0,1,60000,1,8.436,27757.227
815,53,0,0,1,60000,1,8.436,29902.776
817,53,0,0,1,70000,1,8.436,25548.442
832,54,0,0,1,80000,1,8.5405,25227.1385
834,58,0,1,1,80000,1,8.5405,30525.441
849,60,0,2,1,50000,1,575.567,20412.535
851,60,1,2,1,50000,0,8.5405,26533.7215
866,63,1,1,1,60000,1,8.5405,23402.055
868,64,0,2,1,40000,1,8.5405,24606.5375
883,65,0,0,1,60000,1,8.5405,24607.5385
885,65,1,0,1,80000,1,575.567,29989.524
900,53,1,1,1,80000,0,83.2915,29325.6815
902,56,1,1,0,60000,0,669.443,24863.6435
917,58,0,1,0,70000,0,566.95,24332.031
919,60,1,2,1,60000,1,1171.1385,22833.107
932,45,0,2,1,70000,0,575.567,28282.714
934,47,0,2,0,40000,0,1169.4405,26673.6955
949,73,1,2,1,30000,1,513.281,29792.5932
951,44,1,2,1,70000,1,575.567,27401.174
966,67,1,2,1,70000,0,653.31,21353.4235
968,67,1,2,1,80000,0,67.1585,21919.626
983,67,1,2,1,60000,0,8.5405,23639.6775
985,67,0,0,1,80000,1,575.567,25802.056
1000,64,0,1,1,60000,1,574.498,26206.2055
1002,58,1,4,1,80000,0,67.1585,22480.586
1017,48,1,1,0,40000,0,575.567,26339.5475
1019,43,0,2,1,30000,1,404.5575,44964.22
1032,44,0,2,0,30000,0,430.3025,42525.5482
1034,45,1,2,0,40000,0,8.5405,27079.3155
1036,82,0,2,0,40000,1,574.498,20626.745
1049,52,1,2,1,70000,0,8.5405,30362.785
1051,56,0,1,0,110000,0,814.017,44670.111
1066,79,0,2,1,70000,1,8.5405,22485.249
1068,79,0,2,1,70000,0,575.567,25457.2975
1083,77,1,2,1,70000,1,663.651,26948.6635
1085,76,0,3,0,60000,1,1250.8365,27267.4275
1100,74,1,2,0,60000,0,8.5405,26662.756
1102,75,0,2,1,70000,0,8.5405,22167.683
1117,73,1,2,1,70000,0,8.5405,27862.6505
1119,73,1,1,1,60000,1,663.651,29161.156
1134,68,1,3,1,130000,1,709.488,36127.4635
1136,67,0,0,1,90000,1,1283.45,29243.928
1149,59,1,0,1,100000,0,152,29797.5745
1151,59,0,2,1,130000,1,684.7125,40326.8205
1153,60,0,3,1,130000,1,1182.6455,46583.4895
1166,62,0,2,1,80000,1,1496.896,30436.318
1168,61,0,3,1,100000,0,1380.35,23395.7315
1183,63,1,4,1,70000,1,786.4765,28907.6195
1185,63,0,4,1,100000,1,219.45,27713.601
1200,72,1,2,0,40000,0,841.3105,30363.222
1202,85,1,3,1,100000,1,186.2,25242.558
1217,62,0,0,1,20000,1,3.792,17440.5762
1219,62,0,0,1,10000,1,481.288,20352.3862
1234,69,0,1,1,10000,1,1527.432,18785.6091
1236,86,1,0,1,30000,1,3.792,24484.6056
1251,47,1,0,0,10000,0,30.923,23121.3795
1253,46,0,0,0,20000,1,538.2625,27581.0305
1266,64,0,1,0,10000,0,480.176,16036.6836
1268,66,0,1,1,20000,0,980.28,21454.686
1270,64,0,0,1,30000,1,1048.824,25084.7828
1283,54,0,0,1,40000,0,150.8,51135.064
1285,54,1,0,0,30000,1,2.68,25104.9134
1300,79,0,4,0,150000,1,231.992,37955.1496
1302,77,1,4,1,100000,0,7.104,45583.428
1317,70,0,2,0,130000,1,709.488,36933.5658
1319,71,1,3,0,170000,1,231.992,39104.9196
1334,75,0,3,0,90000,1,7.104,55047.6517
1336,76,0,4,0,150000,0,709.488,41472.0141
1351,51,0,3,1,90000,1,7.548,20412.7065
1353,51,0,2,0,100000,1,7.548,27116.452
1368,50,1,2,0,10000,0,2.68,17782.5691
1370,60,0,4,0,60000,0,7.548,32275.2575
1383,51,1,2,0,20000,0,2.68,20737.3037
1385,50,1,1,1,40000,1,484.6,49776.4492
1387,52,1,2,0,20000,0,2.68,22736.6927
1400,52,0,1,1,40000,0,484.6,54658.6203
1402,53,1,1,1,40000,0,7.104,53757.3791
1417,57,1,0,1,60000,0,110.2,29839.401
1419,70,0,2,0,20000,0,430.3025,50287.3611
1434,68,0,1,1,40000,1,1242.296,31813.6665
1436,68,1,1,1,40000,1,208.05,26832.7095
1451,65,0,0,1,60000,1,178.6,24334.7565
1453,65,0,0,1,60000,1,745.6265,27516.8295
1468,57,1,1,0,20000,0,480.176,15133.6959
1470,57,0,1,1,20000,1,1048.824,21075.7633
1485,60,1,2,1,20000,0,2.68,29153.9015
1487,60,1,0,1,20000,0,480.176,18273.8474
1500,45,1,1,0,20000,0,11.992,17214.8122
1502,44,0,1,1,30000,0,1535.632,22634.0967
1504,44,1,2,1,30000,0,11.992,23354.899
1517,47,1,1,0,30000,0,489.488,20828.9682
1519,46,1,1,0,30000,0,1058.136,19590.0967
1534,83,0,4,1,170000,1,246.9905,44577.594
1536,62,0,0,1,10000,0,11.992,21833.363
1551,69,0,1,1,10000,1,11.992,17850.084
1553,85,0,0,1,20000,1,489.488,17138.5078
1568,82,1,0,1,30000,1,1541.264,23325.3817
1570,82,1,0,1,40000,1,484.6,52624.5989
1585,47,1,0,0,10000,0,30.923,32735.8685
1587,45,1,0,0,10000,0,590.393,25244.777
1602,63,0,0,1,30000,1,92.784,24571.7766
1604,64,0,0,1,30000,0,1535.632,16854.2843
1617,54,1,1,0,20000,0,2.68,15738.7975
1619,54,1,0,1,30000,1,480.176,18362.4734
1621,55,0,0,1,40000,1,7.104,55019.4435
1634,79,0,4,1,110000,1,231.992,36260.7673
1636,77,0,2,0,80000,0,1053.248,49783.1164
1651,74,0,3,1,90000,1,7.104,52997.1649
1653,73,1,4,1,130000,1,709.488,44218.2701
1668,47,1,2,1,70000,1,93.3895,25207.1405
1670,48,0,3,0,70000,0,7.548,21905.6795
1685,51,0,4,1,120000,1,761.685,38646.3375
1687,51,1,3,1,90000,0,593.6995,23098.9805
1702,52,0,4,1,110000,1,14.3565,28504
1704,52,1,4,1,110000,1,14.3565,41718.243
1719,49,1,1,1,30000,0,1526.32,21413.3117
1721,49,0,1,0,30000,0,2.68,23731.1843
1734,52,1,2,0,10000,0,480.176,19804.8165
1736,51,0,2,1,20000,0,2.68,23213.5757
1738,51,0,1,0,30000,0,2.68,27094.9416
1751,53,1,0,1,40000,0,7.104,55762.1212
1753,53,0,0,1,40000,0,7.104,48803.7331
1768,69,0,1,1,30000,1,221.7775,34557.411
1770,69,0,1,1,40000,1,681.9765,25360.665
1785,68,0,1,1,40000,1,1969.8725,27813.5305
1787,68,0,1,1,40000,1,160.55,30242.2995
1802,56,1,0,1,30000,0,1048.824,23889.4851
1804,56,1,0,1,30000,1,980.28,17706.6316
1819,58,0,1,1,20000,1,2.68,26788.7654
1821,58,0,0,1,20000,0,480.176,19164.019
1836,60,0,2,1,10000,0,480.176,19831.958
1838,90,1,1,1,20000,1,2.68,17619.7107
1851,47,0,1,0,20000,0,563.664,23844.7247
1853,45,1,1,1,30000,0,11.992,28160.8073
1855,61,0,0,1,40000,1,558.776,56241.715
1868,48,1,2,1,10000,0,1058.136,15373.0465
1870,48,1,1,0,20000,1,11.992,16191.2057
1885,53,1,0,1,60000,0,160.55,27464.7495
1887,52,1,0,1,60000,0,160.55,27989.4795
1902,55,0,0,1,50000,1,160.55,26372.9645
1904,54,1,0,1,50000,0,815.6605,28563.7825
1919,54,1,0,1,80000,1,718.0765,24897.958
1921,56,1,1,1,70000,0,1393.346,31337.909
1936,55,0,0,1,80000,1,151.05,35609.5575
1938,59,1,1,0,40000,0,151.05,25106.427
1953,55,1,1,0,60000,0,681.9765,29360.639
1955,61,0,1,0,70000,1,114.95,17396.9125
1968,63,0,2,1,40000,1,770.0605,24243.413
1970,64,0,2,0,40000,1,114.95,19742.5135
1972,64,0,1,0,40000,1,114.95,32173.466
1985,66,0,1,1,60000,1,1428.496,33974.482
1987,65,1,0,1,80000,1,841.3105,27713.489
2002,54,0,1,1,130000,0,14.3565,34823.3285
2004,57,1,2,1,80000,1,7.548,30814.7195
2019,79,0,4,1,10000,1,31.4415,24592.1995
2021,79,0,2,1,10000,1,534.5395,26534.3845
2036,73,1,2,0,30000,1,27.2,25928.034
2038,74,0,2,0,30000,1,1652.0515,23260.7065
2053,48,0,2,0,40000,0,2019.9565,26372.708
2055,48,0,2,1,40000,1,122.55,30541.7525
2070,49,0,2,1,30000,1,674.0155,46165.426
2072,51,0,2,1,60000,1,129.2,29186.871
2085,49,0,2,0,30000,0,18.905,43358.349
2087,50,0,2,1,60000,0,129.2,24793.3755
2089,50,1,2,0,60000,0,696.2265,21302.2885
2102,66,0,1,1,90000,0,681.9765,26953.758
2104,60,0,1,0,70000,0,7.548,20706.6005
2119,63,1,1,1,60000,1,7.548,28165.8555
2121,58,0,4,1,80000,1,7.548,20944.5395
2136,66,0,1,1,80000,0,1119.076,26321.989
2138,64,1,3,0,70000,1,7.548,24937.4535
2153,46,1,2,1,40000,1,151.05,22963.839
2155,44,0,2,0,40000,1,186.2,27997.4545
2170,52,0,1,0,80000,0,186.2,30435.564
2172,56,1,1,1,80000,0,114.95,24700.515
2187,81,0,2,0,110000,1,371.431,45468.8185
2189,82,0,3,1,120000,1,275.4905,42496.33
2202,79,0,2,1,70000,0,151.05,21432.1805
2204,80,1,2,1,70000,0,718.0765,26058.0395
2206,79,0,2,1,70000,1,1312.9,23839.6205
2219,78,1,3,1,60000,1,745.6265,29937.138
2221,77,1,1,1,70000,1,178.6,30572.1875
2236,75,0,2,1,60000,1,178.6,24290.583
2238,76,0,2,0,70000,1,178.6,22504.9985
2253,65,1,2,1,130000,1,207.992,39536.8002
2255,66,1,3,1,150000,1,288.784,44005.6109
2270,92,1,2,0,50000,0,186.2,26902.881
2272,90,0,2,1,50000,1,282.1405,21117.433
2287,60,1,1,0,90000,0,122.55,24131.1695
2289,60,0,3,1,120000,1,246.9905,38968.29
2304,68,0,0,1,70000,1,129.2,30960.125
2306,69,0,0,1,70000,1,129.2,32846.945
2319,70,1,2,1,60000,1,152,32218.4815
2321,71,1,2,0,70000,0,1394.296,30902.2945
2323,71,1,2,1,70000,0,719.0265,18819.287
2336,84,1,2,1,90000,0,1938.5225,23197.9245
2338,82,1,2,1,80000,1,129.2,24301.911
2353,80,0,2,1,70000,0,110.2,23672.3955
2355,79,0,2,1,70000,1,765.3105,29955.774
2370,76,1,2,1,80000,1,689.5765,27259.3595
2372,75,1,1,1,60000,0,122.55,29788.076
2387,74,0,2,0,60000,1,154.85,30705.1505
2389,74,0,1,1,60000,0,154.85,26070.9125
2404,72,1,2,1,70000,0,151.05,21499.785
2406,66,0,3,1,110000,1,231.992,39206.4566
2421,58,1,4,1,120000,1,246.9905,39157.5015
2423,58,1,4,0,160000,0,95.9405,40826.3265
2436,89,1,2,1,70000,1,150.1,24177.56
2438,60,0,1,1,90000,1,150.1,24185.4005
2440,61,0,4,1,110000,1,246.9905,36726.3915
2453,63,1,1,1,130000,1,275.4905,38074.501
2455,63,0,3,1,130000,1,275.4905,48607.1205
2470,63,0,1,1,100000,0,1908.4265,27340.0165
2472,64,0,4,1,120000,1,275.4905,36950.861
2487,86,1,4,0,130000,0,21.7455,44265.6755
2489,86,1,3,1,120000,1,676.856,47323.3115
2504,66,0,0,1,10000,1,11.992,25017.2216
2506,68,1,0,1,10000,1,11.992,18695.4269
2521,46,1,1,1,10000,0,626.943,29419.7584
2523,46,0,2,1,10000,0,40.7915,28162.6577
2538,64,1,1,0,10000,0,489.488,17243.978
2540,65,0,0,1,30000,0,11.992,19660.297
2553,55,0,0,1,30000,0,1609.808,22978.5186
2555,54,1,0,1,30000,1,11.992,22121.8042
2557,54,1,0,1,40000,0,7.104,48999.855
2570,55,0,1,1,10000,0,11.992,17725.3177
2572,55,0,1,0,10000,1,563.664,26390.6411
2587,71,0,2,1,80000,1,484.6,55220.8304
2589,70,1,4,1,130000,1,207.992,43299.2888
2604,74,1,3,1,120000,1,18.312,37058.1395
2606,74,0,3,0,80000,1,1053.248,51376.8467
2621,48,0,3,0,70000,0,514.8875,24416.9515
2623,50,0,4,1,70000,1,7.548,26379.13
2638,51,1,3,1,110000,1,521.696,37337.861
2640,52,0,3,1,100000,1,1632.493,25698.837
2655,83,0,3,1,100000,1,152,32472.8415
2657,83,1,2,1,110000,1,21.7455,37239.781
2670,61,1,2,1,60000,1,93.483,25070.1035
2672,50,0,1,0,30000,0,19.992,25908.5575
2687,50,0,1,1,40000,1,7.104,45864.7766
2689,50,0,0,0,50000,0,558.776,55160.4077
2704,50,1,0,1,30000,0,12.3025,43880.052
2706,49,0,0,1,30000,0,12.825,48075.1911
2721,69,0,2,0,20000,1,12.3025,46908.332
2723,69,0,1,1,30000,1,16.055,41578.371
2738,67,0,1,1,40000,1,1809.3225,26982.02
2740,67,0,1,1,40000,1,210.8905,24731.0885
2755,65,1,0,1,80000,0,150.1,25891.0925
2757,65,1,0,1,60000,0,250.7905,21831.763
2772,55,0,0,1,40000,0,7.104,50921.1612
2774,57,1,1,0,10000,1,19.992,21274.3899
2787,57,0,1,0,30000,0,497.488,21888.0589
2789,58,1,1,1,30000,1,19.992,21458.68
2804,89,1,0,1,40000,1,484.6,55184.5329
2806,59,0,0,1,40000,1,7.192,57507.2705
2821,60,0,0,1,40000,1,7.192,52129.8121
2823,62,0,1,1,40000,1,7.192,51850.5348
2838,47,1,1,1,30000,0,1617.808,20412.1115
2840,50,0,2,0,10000,0,19.992,22150.0541
2855,50,0,0,1,50000,1,717.1265,25668.744
2857,53,0,3,1,40000,0,150.1,25585.294
2872,54,1,0,1,50000,0,160.55,25234.8
2874,52,0,0,1,70000,1,815.6605,23395.8555
2889,56,0,1,1,70000,0,719.0265,24638.912
2891,57,1,0,1,60000,0,152,29289.466
2904,54,0,0,1,80000,0,719.0265,24551.5405
2906,55,0,0,1,80000,1,151.05,30029.485
2921,60,1,2,1,50000,0,114.95,23588.6765
2923,61,0,2,1,60000,1,114.95,29517.2775
2938,56,1,1,1,70000,0,114.95,27250.95
2940,57,0,1,0,60000,0,681.9765,32758.8825
2955,56,0,1,1,60000,1,593.793,28161.671
2957,55,1,3,1,70000,0,7.6415,25891.263
2972,56,1,1,1,70000,0,7.6415,19824.1645
2974,60,1,2,1,60000,0,7.6415,24491.0305
2989,45,0,2,1,40000,0,601.217,26894.4995
2991,46,1,1,0,40000,0,130.131,32078.43
3006,47,0,2,0,70000,1,27.5405,29832.6025
3008,74,1,2,1,10000,1,33.1415,25281.015
3021,69,1,2,0,80000,0,7.6415,25355.0395
3023,49,1,2,1,30000,0,10.925,45276.5505
3038,50,1,2,1,60000,1,112.081,24524.302
3040,64,0,3,0,160000,0,521.696,38324.734
3055,64,0,1,1,60000,1,7.6415,20360.521
3057,64,0,1,1,60000,1,514.981,21492.451
3072,65,0,1,0,90000,0,514.981,25215.932
3074,89,0,2,0,30000,1,29.7415,24206.663
3089,46,1,2,1,30000,0,4.503,42579.5225
3091,46,1,2,0,30000,1,4.503,34588.0569
3106,47,0,1,0,40000,0,160.55,30524.643
3108,48,1,2,1,40000,0,806.1605,29605.629
3123,82,1,2,1,80000,1,1315.75,33154.8375
3125,43,0,1,0,10000,1,513.281,28710.9725
3138,80,1,1,1,20000,1,989.592,20962.0064
3140,63,1,0,1,30000,1,489.488,27301.9813
3155,53,0,0,1,30000,1,563.664,22947.8663
3157,55,0,1,0,20000,0,11.992,19610.9726
3172,79,1,2,0,90000,0,484.688,53255.4852
3174,79,1,3,1,70000,1,7.192,52025.044
3189,72,1,3,1,80000,1,558.864,54034.2425
3191,73,1,3,1,90000,1,7.192,52154.9238
3206,77,0,2,1,90000,0,484.688,52066.3478
3208,76,0,3,1,110000,1,18.312,40498.3581
3223,51,1,3,1,80000,0,93.483,24710.0865
3225,50,1,3,1,110000,0,14.3565,34560.8295
3240,82,1,2,1,70000,1,721.8765,30601.6745
3242,82,1,1,1,110000,1,275.4905,41735.3205
3255,80,1,2,0,110000,1,1837.756,41724.38
3257,81,1,2,0,170000,0,1264.0415,39660.112
3272,50,0,2,1,30000,1,4.503,40665.7735
3274,51,0,2,0,60000,0,747.5265,31323.7365
3289,58,1,3,0,130000,0,117.686,40159.8775
3291,67,0,2,1,70000,0,110.2,27004.108
3306,61,0,1,1,60000,1,7.6415,26917.55
3308,63,0,1,1,60000,1,593.793,19787.2105
3323,65,1,1,1,90000,0,1626.509,26204.6855
3325,67,1,1,1,70000,0,7.6415,22988.673
3340,46,1,2,0,30000,0,4.503,40656.324
3342,44,0,2,0,30000,1,4.503,39988.462
3357,56,1,2,1,100000,0,21.8405,27097.8105
3359,56,1,2,1,100000,1,21.8405,29699.1905
3372,52,0,0,1,40000,1,41.6195,30205.842
3374,51,0,0,1,60000,1,41.6195,26428.981
3389,77,1,2,1,70000,1,27.5405,31444.1155
3391,76,0,0,0,60000,1,682.651,30320.683
3406,74,0,2,1,60000,1,1919.247,26714.186
3408,74,0,1,1,60000,1,21.8405,23264.586
3423,65,1,4,0,130000,0,495.808,40014.1827
3425,66,1,3,1,110000,0,18.312,38913.5689
3440,58,0,4,1,100000,1,37.0405,24909.9055
3442,58,0,3,1,110000,1,275.4905,43965.385
3457,61,0,2,0,90000,0,1831.163,29511.5485
3459,62,0,2,1,80000,1,21.8405,28227.4825
3474,63,0,4,1,160000,1,275.4905,46077.966
3476,68,1,2,0,60000,1,1262.246,23216.816
3489,70,0,1,1,70000,1,21.8405,27815.2225
3491,70,0,2,1,70000,1,1264.1365,28836
3506,86,0,4,1,130000,1,1489.2865,50190.482
3508,83,0,3,1,100000,1,604.067,31555.7335
3523,76,0,2,1,20000,1,33.1415,20979.317
3525,46,1,0,1,10000,1,11.992,18810.3409
3540,61,1,0,1,30000,0,11.992,15460.6063
3542,66,0,0,1,20000,0,11.992,18038.2823
3557,81,0,1,1,10000,1,989.592,26946.6024
3559,53,1,0,1,50000,1,1283.9155,26569.4735
3574,55,1,0,1,60000,1,37.0405,26135.89
3576,55,1,0,1,60000,1,1197.9405,29617.9655
3591,58,1,1,1,60000,0,21.8405,31842.9165
3593,57,1,0,1,60000,1,588.867,29512.4655
3606,58,1,1,0,80000,0,21.8405,35458.5565
3608,60,0,2,1,50000,1,671.251,20901.5685
3623,62,0,1,1,70000,1,588.867,24154.511
3625,62,1,1,1,70000,1,21.8405,32049.8535
3640,63,0,1,1,60000,1,21.85,24625.8495
3642,56,0,1,0,50000,1,21.85,27753.404
3657,65,0,0,1,80000,1,718.0765,25327.5405
3659,66,1,1,1,60000,1,34.1905,23340.8195
3674,54,0,1,1,110000,1,521.696,42719.79
3676,56,1,4,0,70000,1,7.548,25399.2565
3691,44,0,2,0,20000,0,11.992,15998.5047
3693,46,1,1,0,30000,0,11.992,20057.9608
3706,52,1,0,1,40000,0,7.192,51033.8731
3708,52,1,2,0,10000,0,92.784,17564.8174
3710,53,0,1,0,30000,0,11.992,24279.1802
3723,49,1,2,1,40000,0,1749.767,30959.481
3725,57,0,0,1,60000,1,21.8405,28350.6375
3740,69,0,1,1,40000,1,592.667,28206.541
3742,69,1,1,1,40000,1,25.6405,27390.597
3757,67,0,1,1,40000,1,21.8405,27362.4515
3759,66,1,0,1,80000,0,21.8405,28046.4125
3774,56,0,0,1,40000,1,484.688,56452.9877
3776,55,1,0,1,40000,1,7.192,57229.3535
3791,57,0,0,1,40000,1,7.192,46589.7753
3793,56,0,0,1,40000,1,984.792,63235.2934
3808,61,1,2,1,10000,0,11.992,24670.2621
3810,61,0,2,1,20000,0,11.992,15003.1199
3823,60,1,0,1,30000,0,563.664,22162.5566
3825,60,0,1,1,30000,0,92.784,22413.5909
3827,44,1,2,0,20000,1,11.992,24310.8294
3840,47,1,1,0,30000,0,11.992,22433.2735
3842,112,0,1,1,20000,1,11.992,18625.9092
3857,46,1,2,1,40000,0,21.85,27558.2835
3859,72,0,2,0,30000,1,540.481,30198.5985
3874,50,0,0,1,30000,1,571.5295,38409.316
3876,48,1,2,1,40000,0,160.55,23587.3395
3891,69,0,1,1,30000,1,4.503,36929.529
3893,69,1,1,1,40000,1,19.95,26033.4645
3908,68,1,1,1,40000,1,19.95,27961.332
3910,67,0,1,1,40000,1,586.9765,22093.221
3925,55,1,1,1,20000,1,11.992,17402.9495
3927,56,0,0,1,30000,1,1535.632,22995.1772
3940,57,0,0,1,40000,1,558.864,53455.8839
3942,57,1,0,1,20000,0,481.288,21506.3051
3944,57,1,1,1,30000,1,3.792,23054.6689
3957,61,1,0,1,20000,0,481.288,20765.1447
3959,57,0,0,1,40000,1,1053.336,54009.6893
3974,44,1,1,1,30000,0,3.792,17719.5203
3976,60,0,0,1,40000,1,87.984,56376.8891
3991,48,0,1,0,30000,0,3.792,22414.7268
3993,111,0,1,1,20000,1,1049.936,26453.7202
4008,46,1,2,0,40000,0,681.9765,28414.035
4010,46,1,2,1,30000,0,659.6135,52551.095
4025,71,0,2,1,30000,1,542.181,24219.963
4027,71,1,2,1,40000,0,7.548,27441.449
4042,46,1,0,1,10000,1,34.8415,28780.1493
4044,47,0,0,1,20000,0,33.1415,23470.1063
4057,65,1,1,1,20000,1,555.464,22101.4001
4059,64,0,0,1,30000,1,3.792,18393.1183
4061,65,0,1,1,20000,0,3.792,20827.7398
4074,54,1,0,1,30000,1,3.792,23616.9479
4076,103,1,2,0,10000,1,3.792,18544.7741
4091,70,0,2,1,10000,0,481.288,18628.1614
4093,69,0,1,1,80000,1,484.688,56846.2025
4108,70,0,2,1,90000,1,558.864,52914.6779
4110,72,1,2,1,80000,1,7.192,54989.8315
4125,49,1,4,1,60000,0,1119.076,24234.6915
4127,49,0,3,1,80000,0,7.548,21878.995
4142,52,1,4,1,80000,0,7.548,22102.851
4144,52,0,4,1,90000,1,514.8875,27544.573
4159,83,1,3,1,100000,1,178.6,26307.704
4161,82,1,2,1,80000,1,745.6265,23016.4815
4174,48,0,2,1,30000,0,4.503,53804.7905
4176,50,1,2,1,70000,0,178.6,31994.9985
4178,50,0,2,0,70000,0,745.6265,24288.3065
4191,49,1,2,0,60000,0,178.6,27411.417
4193,64,1,3,0,130000,0,14.3565,42372.5795
4208,56,0,0,1,100000,0,1119.076,27681.694
4210,61,0,1,1,60000,1,514.8875,29358.7725
4225,60,0,1,0,70000,0,593.6995,24821.5605
4227,60,1,2,0,70000,0,7.548,23048.2535
4242,71,0,1,1,40000,1,7.548,24232.0735
4244,48,1,2,1,30000,1,1732.4295,49967.3585
4259,46,1,2,1,40000,1,114.95,29670.8585
4261,46,1,2,1,30000,0,23.7405,42614.639
4276,47,0,1,1,40000,1,727.5765,24167.771
4278,50,1,1,0,30000,0,1266.0365,41976.3786
4291,51,0,0,0,50000,1,601.217,23795.296
4293,52,1,0,1,60000,0,34.1905,25740.109
4295,52,0,0,1,60000,1,1276.4865,29540.0975
4308,79,1,2,1,60000,1,34.1905,22561.9735
